Main Port Name,Country Code,Latitude,Longitude
Maurer,United States,40.533333,-74.25
New Harbor,United States,43.866667,-69.483333
Norsworthy,United States,29.733333,-95.2
Minturn,United States,44.15,-68.45
Criehaven,United States,43.833333,-68.883333
Corea,United States,44.4,-67.966667
Monhegan,United States,43.766667,-69.316667
Northeast Harbor,United States,44.3,-68.283333
Bucks Harbor,United States,44.333333,-68.733333
Matinicus,United States,43.866667,-68.883333
Grasselli,United States,40.616667,-74.2
Port Socony,United States,40.55,-74.25
Pemaquid Beach,United States,43.866667,-69.533333
Sinco,United States,29.716667,-95.233333
Robinhood,United States,43.85,-69.733333
Port Clyde,United States,43.916667,-69.25
Friendship,United States,43.966667,-69.333333
Bucksport,United States,44.566667,-68.783333
Houston,United States,29.75,-95.28333300000001
Newburyport,United States,42.816667,-70.866667
Norfolk,United States,36.85,-76.29999999999998
Greenport,United States,41.1,-72.366667
Searsport,United States,44.45,-68.916667
Rockport,United States,44.183333,-69.066667
Winter Harbor,United States,44.383333,-68.083333
New Castle,United States,39.65,-75.56666699999998
Portsmouth,United States,36.816667,-76.29999999999998
Philadelphia,United States,39.95,-75.13333299999998
Salem Nj,United States,39.666667,-75.483333
Isthmus Cove,United States,33.45,-118.5
Yerbabuena Island,United States,37.816667,-122.366667
Ventura,United States,34.283333,-119.283333
Prisoners,United States,34.016667,-119.683333
Annapolis,United States,38.983333,-76.483333
Baltimore,United States,39.266667,-76.58333299999998
Camden,United States,39.95,-75.13333299999998
Chester,United States,39.85,-75.34999999999998
Newark,United States,40.7,-74.15
Bayonne,United States,40.683333,-74.09999999999998
Hoboken,United States,40.75,-74.016667
Greenwich,United States,41.016667,-73.616667
Bridgeport,United States,41.166667,-73.183333
Fall River,United States,41.7,-71.166667
Albany,United States,42.65,-73.75
Camden,United States,44.216667,-69.066667
Castine,United States,44.383333,-68.733333
Avalon,United States,33.35,-118.316667
Brownsville,United States,25.95,-97.4
Galveston,United States,29.316667,-94.78333300000001
Beaumont,United States,30.083333,-94.083333
Baton Rouge,United States,30.45,-91.183333
Carrabelle,United States,29.85,-84.666667
Key West,United States,24.55,-81.81666699999998
Fort Pierce,United States,27.466667,-80.31666699999998
Mayport,United States,30.4,-81.433333
Elizabeth City,United States,36.3,-76.216667
Davenport,United States,37.016667,-122.2
Carpinteria,United States,34.383333,-119.516667
Crockett,United States,38.05,-122.216667
Bar Harbor,United States,44.383333,-68.2
Deer Park,United States,29.75,-95.333333
Elizabethport,United States,40.65,-74.183333
Jersey City,United States,40.716667,-74.033333
New Haven,United States,41.233333,-72.916667
New London,United States,41.35,-72.08333299999998
Marcus Hook,United States,39.816667,-75.416667
Newport News,United States,36.966667,-76.433333
Kennebunkport,United States,43.366667,-70.466667
Boothbay Harbor,United States,43.866667,-69.583333
Oakland,United States,37.816667,-122.333333
Monterey,United States,36.616667,-121.883333
Morro Bay,United States,35.366667,-120.85
New Orleans,United States,29.95,-90.04999999999998
Madisonville,United States,30.4,-90.15
Mobile,United States,30.683333,-88.116667
Miami,United States,25.783333,-80.183333
Alameda,United States,37.783333,-122.266667
Destrehan,United States,29.95,-90.366667
Berkeley,United States,37.866667,-122.3
Marblehead,United States,42.5,-70.85
Stonington,United States,44.15,-68.666667
Port Isabel,United States,26.083333,-97.2
Tarpon Springs,United States,28.15,-82.766667
Portsmouth,United States,43.083333,-70.75
San Francisco,United States,37.816667,-122.416667
Texas City,United States,29.383333,-94.916667
Salem,United States,42.516667,-70.883333
Pensacola,United States,30.4,-87.216667
Santa Barbara,United States,34.416667,-119.683333
Rockland,United States,44.1,-69.1
San Diego,United States,32.716667,-117.183333
Winterport,United States,44.633333,-68.85
Port Neches,United States,30.0,-93.95
Rockport,United States,28.016667,-97.05
Portland,United States,43.666667,-70.25
South Vallejo,United States,38.083333,-122.25
Pascagoula,United States,30.35,-88.56666699999998
Panama City,United States,30.133333,-85.65
Sandypoint,United States,44.516667,-68.816667
Saco,United States,43.5,-70.45
West Point,United States,37.533333,-76.79999999999998
Port Reading,United States,40.566667,-74.233333
Port Chester,United States,41.0,-73.666667
Providence,United States,41.8,-71.4
Sayreville,United States,40.466667,-74.366667
Perth Amboy,United States,40.5,-74.266667
Yorktown,United States,37.233333,-76.5
Edgewater,United States,40.816667,-73.983333
Ellsworth,United States,44.55,-68.416667
Frenchboro,United States,44.116667,-68.366667
Carteret,United States,40.583333,-74.216667
New York City,United States,40.7,-74.016667
Brooklyn,United States,40.666667,-74.016667
City Island,United States,40.85,-73.783333
Boston,United States,42.35,-71.05
Gloucester,United States,39.9,-75.13333299999998
Bath,United States,43.916667,-69.816667
Corpus Christi,United States,27.816667,-97.4
Orange,United States,30.083333,-93.733333
Lake Charles,United States,30.216667,-93.25
Morgan City,United States,29.7,-91.216667
Loop Terminal,United States,28.883333,-90.016667
Gulfport,United States,30.35,-89.08333299999998
Apalachicola,United States,29.716667,-84.983333
Boca Grande,United States,26.7,-82.33333299999998
Clayton,United States,44.233333,-76.04999999999998
Ogdensburg,United States,44.7,-75.5
Mount Desert,United States,44.366667,-68.333333
Norwalk,United States,41.1,-73.416667
Haymark Terminal,United States,30.133333,-93.316667
Grand Isle,United States,29.233333,-90.0
Gardiner,United States,44.233333,-69.766667
Cundy Harbor,United States,43.783333,-69.9
Leonardo,United States,40.433333,-74.06666699999998
Oleum,United States,38.05,-122.266667
Sausalito,United States,37.85,-122.483333
Pasadena,United States,29.716667,-95.216667
Port Manatee,United States,27.633333,-82.56666699999998
Sacramento,United States,38.583333,-121.5
Tampa,United States,27.916667,-82.45
Port Oconnor,United States,28.45,-96.4
Walnut Grove,United States,38.233333,-121.516667
Port Everglades,United States,26.1,-80.116667
Port Hueneme,United States,34.15,-119.2
Savannah,United States,32.083333,-81.08333299999998
Chrome,United States,40.566667,-74.216667
Bayway,United States,40.633333,-74.2
